קישור, שם, מספר, עלה להצבעה
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086198,"הצעת חוק העונשין (תיקון מס' 143 והוראת שעה), התשפ'ב–2022",פ\24\720,1
https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086395,"חוק למניעת אלימות במשפחה (תיקון מס' 18 - הוראת שעה), התשפ'ב-2021",פ\24\1058,1
